month,size,quantity
2023-01,3kg,500
2023-01,5kg,500
2023-01,1kg,300
2023-01,350g,300
2023-02,3kg,510
2023-02,5kg,490
2023-02,1kg,305
2023-02,350g,295
2023-03,3kg,800
2023-03,5kg,800
2023-03,1kg,500
2023-03,350g,500
2023-04,3kg,1000
2023-04,5kg,900
2023-04,1kg,1400
2023-04,350g,1117
2023-05,3kg,495
2023-05,5kg,505
2023-05,1kg,295
2023-05,350g,305
2023-06,3kg,480
2023-06,5kg,520
2023-06,1kg,290
2023-06,350g,300
2023-07,3kg,510
2023-07,5kg,490
2023-07,1kg,305
2023-07,350g,315
2023-08,3kg,500
2023-08,5kg,500
2023-08,1kg,300
2023-08,350g,300
2023-09,3kg,1000
2023-09,5kg,1000
2023-09,1kg,600
2023-09,350g,600
2023-10,3kg,600
2023-10,5kg,600
2023-10,1kg,395
2023-10,350g,405
2023-11,3kg,590
2023-11,5kg,610
2023-11,1kg,390
2023-11,350g,400
2023-12,3kg,620
2023-12,5kg,620
2023-12,1kg,415
2023-12,350g,425
2024-01,3kg,500
2024-01,5kg,500
2024-01,1kg,300
2024-01,350g,310
2024-02,3kg,510
2024-02,5kg,490
2024-02,1kg,305
2024-02,350g,295
2024-03,3kg,1150
2024-03,5kg,1200
2024-03,1kg,800
2024-03,350g,750
2024-04,3kg,1000
2024-04,5kg,1000
2024-04,1kg,600
2024-04,350g,650
2024-05,3kg,505
2024-05,5kg,495
2024-05,1kg,305
2024-05,350g,315
2024-06,3kg,480
2024-06,5kg,520
2024-06,1kg,290
2024-06,350g,300
2024-07,3kg,510
2024-07,5kg,490
2024-07,1kg,310
2024-07,350g,320
2024-08,3kg,500
2024-08,5kg,500
2024-08,1kg,300
2024-08,350g,310
2024-09,3kg,1000
2024-09,5kg,1000
2024-09,1kg,600
2024-09,350g,600
2024-10,3kg,600
2024-10,5kg,600
2024-10,1kg,395
2024-10,350g,405
2024-11,3kg,590
2024-11,5kg,610
2024-11,1kg,390
2024-11,350g,400
2024-12,3kg,620
2024-12,5kg,620
2024-12,1kg,420
2024-12,350g,430
2025-01,3kg,500
2025-01,5kg,500
2025-01,1kg,300
2025-01,350g,300
2025-02,3kg,510
2025-02,5kg,490
2025-02,1kg,305
2025-02,350g,295
2025-03,3kg,1500
2025-03,5kg,1500
2025-03,1kg,950
2025-03,350g,900
2025-04,3kg,500
2025-04,5kg,500
2025-04,1kg,300
2025-04,350g,300
2025-05,3kg,495
2025-05,5kg,505
2025-05,1kg,295
2025-05,350g,305
2025-06,3kg,480
2025-06,5kg,520
2025-06,1kg,290
2025-06,350g,300
2025-07,3kg,510
2025-07,5kg,490
2025-07,1kg,305
2025-07,350g,315
2025-08,3kg,500
2025-08,5kg,500
2025-08,1kg,300
2025-08,350g,300
2025-09,3kg,1000
2025-09,5kg,1000
2025-09,1kg,600
2025-09,350g,600
2025-10,3kg,600
2025-10,5kg,600
2025-10,1kg,400
2025-10,350g,400
2025-11,3kg,590
2025-11,5kg,610
2025-11,1kg,395
2025-11,350g,405
2025-12,3kg,620
2025-12,5kg,620
2025-12,1kg,420
2025-12,350g,430
